G	Date	Tm	Opp	GS	MP	2P	2PA	3P	3PA	FT	FTA	PTS
1	1997 04 25	CHI	WSB	W	42min	12	25	0	1	5	5	29
2	1997 04 27	CHI	WSB	W	44min	22	35	1	2	10	10	55
3	1997 04 30	CHI	WSB	W	43min	14	24	0	5	0	0	19.9
4	1997 05 06	CHI	ATL	W	44min	13	25	1	3	7	10	34
5	1997 05 08	CHI	ATL	L	44min	12	29	0	6	3	3	27
6	1997 05 10	CHI	ATL	W	39min	8	20	0	1	5	5	21
7	1997 05 11	CHI	ATL	W	43min	12	22	0	2	3	5	27
8	1997 05 13	CHI	ATL	W	40min	9	23	1	5	5	5	24
9	1997 05 20	CHI	MIA	W	42min	15	31	0	2	7	10	37
10	1997 05 22	CHI	MIA	W	43min	4	15	0	1	15	16	23
11	1997 05 24	CHI	MIA	W	36min	14	25	1	2	5	5	34
12	1997 05 26	CHI	MIA	L	45min	9	35	0	8	11	13	29
13	1997 05 28	CHI	MIA	W	43min	11	31	1	4	5	6	28
14	1997 06 01	CHI	UTA	W	41min	13	27	0	0	7	8	23.2
15	1997 06 04	CHI	UTA	W	45min	11	20	1	2	15	21	38
16	1997 06 06	CHI	UTA	L	40min	9	22	4	10	4	5	26
17	1997 06 08	CHI	UTA	L	42min	11	27	0	4	0	0	7.7
18	1997 06 11	CHI	UTA	W	44min	13	27	2	5	10	12	38
19	1997 06 13	CHI	UTA	W	44min	15	35	1	4	8	10	39
												
												
https://www.basketballreference.com/players/j/jordami01/gamelog/1997/

